Date,Confirmed,Deaths,Cured
2020-01-30,1,0,0
2020-01-31,1,0,0
2020-02-01,2,0,0
2020-02-02,3,0,0
2020-02-03,3,0,0
2020-02-04,3,0,0
2020-02-05,3,0,0
2020-02-06,3,0,0
2020-02-07,3,0,0
2020-02-08,3,0,0
2020-02-09,3,0,0
2020-02-10,3,0,0
2020-02-11,3,0,0
2020-02-12,3,0,0
2020-02-13,3,0,0
2020-02-14,3,0,0
2020-02-15,3,0,0
2020-02-16,3,0,0
2020-02-17,3,0,0
2020-02-18,3,0,0
2020-02-19,3,0,0
2020-02-20,3,0,0
2020-02-21,3,0,0
2020-02-22,3,0,0
2020-02-23,3,0,0
2020-02-24,3,0,0
2020-02-25,3,0,0
2020-02-26,3,0,0
2020-02-27,3,0,0
2020-02-28,3,0,0
2020-02-29,3,0,0
2020-03-01,3,0,0
2020-03-02,5,0,0
2020-03-03,6,0,3
2020-03-04,28,0,3
2020-03-05,30,0,3
2020-03-06,31,0,3
2020-03-07,34,0,3
2020-03-08,39,0,3
2020-03-09,46,0,3
2020-03-10,58,0,3
2020-03-11,60,0,3
2020-03-12,74,0,3
2020-03-13,81,1,3
2020-03-14,84,2,10
2020-03-15,110,2,13
2020-03-16,114,2,13
2020-03-17,137,3,14
2020-03-18,151,3,14
2020-03-19,173,4,20
2020-03-20,223,4,23
2020-03-21,283,4,23
2020-03-22,360,7,24
2020-03-23,433,7,24
2020-03-24,519,9,40
2020-03-25,606,10,43
2020-03-26,694,15,45
2020-03-27,724,17,67
2020-03-28,909,19,80
2020-03-29,1024,27,96
2020-03-30,1251,31,102
2020-03-31,1397,35,124
2020-04-01,1834,41,144
2020-04-02,2069,53,156
2020-04-03,2547,62,163
2020-04-04,3072,75,213
2020-04-05,3577,83,275
2020-04-06,4281,111,319
2020-04-07,4789,124,353
2020-04-08,5274,149,411
2020-04-09,5865,169,478
2020-04-10,6761,206,516
2020-04-11,7529,242,653
2020-04-12,8447,273,765
2020-04-13,9352,324,980
2020-04-14,10815,353,1190
2020-04-15,11933,392,1344
2020-04-16,12759,420,1515
2020-04-17,13835,452,1767
2020-04-18,14792,488,2015
2020-04-19,16116,519,2302
2020-04-20,17656,559,2842
2020-04-21,18985,603,3260
2020-04-22,20471,652,3960
2020-04-23,21700,686,4325
2020-04-24,23452,723,4814
2020-04-25,24893,779,5210
2020-04-26,26605,826,5914
2020-04-27,28160,886,6362
2020-04-28,29834,937,7027
2020-04-29,31709,1008,7797
2020-04-30,33330,1075,8373
2020-05-01,34972,1152,9065
2020-05-02,37157,1218,9951
2020-05-03,40124,1306,10887
2020-05-04,42836,1389,11762
2020-05-05,46711,1583,13161
2020-05-06,49391,1694,14183
2020-05-07,52952,1783,15267
2020-05-08,56342,1886,16540
2020-05-09,59662,1981,17847
2020-05-10,62939,2109,19358
2020-05-11,67152,2206,20917
2020-05-12,70756,2293,22455
2020-05-13,74281,2415,24386
2020-05-14,78003,2549,26235
2020-05-15,81970,2649,27920
2020-05-16,85710,2752,30153
2020-05-17,90637,2872,34109
2020-05-18,95759,3029,36824
2020-05-19,100325,3163,39174
2020-05-20,106750,3303,42298
2020-05-21,112359,3435,45300
2020-05-22,118447,3583,48534
2020-05-23,125101,3720,51784
2020-05-24,131868,3867,54441
2020-05-25,138845,4021,57721
2020-05-26,145380,4167,60491
2020-05-27,151767,4337,64426
2020-05-28,158333,4531,67692
2020-05-29,165799,4706,71106
2020-05-30,173763,4971,82370
2020-05-31,182143,5164,86984
2020-06-01,190535,5394,91819
2020-06-02,198706,5598,95527
2020-06-03,207615,5815,100303
2020-06-04,216919,6075,104107
2020-06-05,226770,6348,109462
2020-06-06,236657,6642,114073
2020-06-07,246628,6929,119293
2020-06-08,256611,7135,124095
2020-06-09,266598,7466,129215
2020-06-10,276583,7745,135206
2020-06-11,286579,8102,141029
2020-06-12,297535,8498,147195
2020-06-13,308993,8884,154330
2020-06-14,320922,9195,162379
2020-06-15,332424,9520,169798
2020-06-16,343091,9900,180013
2020-06-17,354065,11903,186935
2020-06-18,366946,12237,194325
2020-06-19,380532,12573,204711
2020-06-20,395048,12948,213831
2020-06-21,410461,13254,227756
2020-06-22,425282,13699,237196
2020-06-23,440215,14011,248190
2020-06-24,456183,14476,258685
2020-06-25,473105,14894,271697
2020-06-26,490401,15301,285637
2020-06-27,508953,15685,295881
2020-06-28,528859,16095,309713
2020-06-29,548318,16475,321723
2020-06-30,566840,16893,334822
2020-07-01,585493,17400,347979
2020-07-02,604641,17834,359860
2020-07-03,625544,18213,379892
2020-07-04,648315,18655,394227
2020-07-05,673165,19268,409083
2020-07-06,697413,19693,424433
2020-07-07,719665,20160,439948
2020-07-08,742417,20642,456831
2020-07-09,767296,21129,476378
2020-07-10,793802,21604,495516
2020-07-11,820916,22123,515386
2020-07-12,849553,22674,534621
2020-07-13,878254,23174,553471
2020-07-14,906752,23727,571460
2020-07-15,936181,24309,592032
2020-07-16,968876,24915,612815
2020-07-17,1003832,25602,635757
2020-07-18,1038716,26273,653751
2020-07-19,1077618,26816,677423
2020-07-20,1118043,27497,700087
2020-07-21,1155191,28084,724578
2020-07-22,1192915,28732,753050
2020-07-23,1238635,29861,782607
2020-07-24,1287945,30601,817209
2020-07-25,1336861,31358,849432
2020-07-26,1385522,32063,885577
2020-07-27,1435453,32771,917568
2020-07-28,1483156,33425,952743
2020-07-29,1531669,34193,988029
2020-07-30,1583792,34968,1020582
2020-07-31,1638870,35747,1057805
2020-08-01,1695988,36511,1094374
2020-08-02,1750723,37364,1145629
2020-08-03,1803695,38135,1186203
2020-08-04,1855745,38938,1230509
2020-08-05,1908254,39795,1282215
2020-08-06,1964536,40699,1328336
2020-08-07,2027074,41585,1378105
2020-08-08,2088611,42518,1427005
2020-08-09,2153010,43379,1480884
2020-08-10,2215074,44386,1535743
2020-08-11,2268675,45257,1583489
2020-08-12,2329638,46091,1639599
2020-08-13,2396637,47033,1695982
2020-08-14,2461190,48040,1751555
2020-08-15,2526192,49036,1808936
2020-08-16,2589682,49980,1862258
2020-08-17,2647663,50921,1919842
2020-08-18,2702742,51797,1977779
2020-08-19,2767273,52889,2037870
2020-08-20,2836925,53866,2096664
2020-08-21,2905823,54849,2158946
2020-08-22,2975701,55794,2222577
2020-08-23,3044940,56706,2280566
2020-08-24,3106348,57542,2338035
2020-08-25,3167323,58390,2404585
2020-08-26,3234474,59449,2467758
2020-08-27,3310234,60472,2523771
2020-08-28,3387500,61529,2583948
2020-08-29,3463972,62550,2648998
2020-08-30,3542733,63498,2713933
2020-08-31,3621245,64469,2774801
2020-09-01,3691166,65288,2839882
2020-09-02,3769523,66333,2901908
2020-09-03,3853406,67376,2970492
2020-09-04,3936747,68472,3037151
2020-09-05,4023179,69561,3107223
2020-09-06,4113811,70626,3180865
2020-09-07,4204613,71642,3250429
2020-09-08,4280422,72775,3323950
2020-09-09,4370128,73890,3398844
2020-09-10,4465863,75062,3471783
2020-09-11,4562414,76271,3542663
2020-09-12,4659984,77472,3624196
2020-09-13,4754356,78586,3702595
2020-09-14,4846427,79722,3780107
2020-09-15,4930236,80776,3859399
2020-09-16,5020359,82066,3942360
2020-09-17,5118253,83198,4025079
2020-09-18,5214677,84372,4112551
2020-09-19,5308014,85619,4208431
2020-09-20,5400619,86752,4303043
2020-09-21,5487580,87882,4396399
2020-09-22,5562663,88935,4497867
2020-09-23,5646010,90020,4587613
2020-09-24,5732518,91149,4674987
2020-09-25,5818570,92290,4756164
2020-09-26,5903932,93379,4849584
2020-09-27,5992532,94503,4941627
2020-09-28,6074702,95542,5016520
2020-09-29,6145291,96318,5101397
2020-09-30,6225763,97497,5187825
2020-10-01,6312584,98678,5273201
2020-10-02,6394068,99773,5352078
2020-10-03,6473544,100842,5427706
2020-10-04,6549373,101782,5509966
2020-10-05,6623815,102685,5586703
2020-10-06,6685082,103569,5662490
2020-10-07,6757131,104555,5744693
2020-10-08,6835655,105526,5827704
2020-10-09,6906151,106490,5906069
2020-10-10,6979423,107416,5988822
2020-10-11,7053806,108334,6077976
2020-10-12,7120538,109150,6149535
2020-10-13,7175880,109856,6227295
2020-10-14,7239389,110586,6301927
2020-10-15,7307097,111266,6383441
2020-10-16,7370468,112161,6453779
2020-10-17,7432680,112998,6524595
2020-10-18,7494551,114031,6597209
2020-10-19,7550273,114610,6663608
2020-10-20,7597063,115197,6733328
2020-10-21,7651107,115914,6795103
2020-10-22,7706946,116616,6874518
2020-10-23,7761312,117306,6948497
2020-10-24,7814682,117956,7016046
2020-10-25,7864811,118534,7078123
2020-10-26,7909959,119014,7137228
2020-10-27,7946429,119502,7201070
2020-10-28,7990322,120010,7259509
2020-10-29,8040203,120527,7315989
2020-10-30,8088851,121090,7373375
2020-10-31,8137119,121641,7432829
2020-11-01,8184082,122111,7491513
2020-11-02,8229313,122607,7544798
2020-11-03,8267623,123097,7603121
2020-11-04,8313876,123611,7656478
2020-11-05,8364086,124315,7711809
2020-11-06,8411724,124985,7765966
2020-11-07,8462080,125562,7819886
2020-11-08,8507754,126121,7868968
2020-11-09,8553657,126611,7917373
2020-11-10,8591730,127059,7963457
2020-11-11,8636011,127571,8013783
2020-11-12,8683916,128121,8066501
2020-11-13,8728795,128668,8115580
2020-11-14,8773479,129188,8163572
2020-11-15,8814579,129635,8205728
2020-11-16,8845127,130070,8249579
2020-11-17,8874290,130519,8290370
2020-11-18,8912907,130993,8335109
2020-11-19,8958483,131578,8383602
2020-11-20,9004365,132162,8428409
2020-11-21,9050597,132726,8478124
2020-11-22,9095806,133227,8521617
2020-11-23,9139865,133738,8562641
2020-11-24,9177840,134218,8604955
2020-11-25,9222216,134699,8642771
2020-11-26,9266705,135223,8679138
2020-11-27,9309787,135715,8718517
2020-11-28,9351109,136200,8759969
2020-11-29,9392919,136696,8802267
2020-11-30,9431691,137139,8847600
2020-12-01,9462809,137621,8889585
2020-12-02,9499413,138122,8932647
2020-12-03,9534964,138648,8973373
2020-12-04,9571559,139188,9016289
2020-12-05,9608211,139700,9058822
2020-12-06,9644222,140182,9100792
2020-12-07,9677203,140573,9139901
2020-12-08,9703770,140958,9178946
2020-12-09,9735850,141360,9215581
2020-12-10,9767371,141772,9253306
2020-12-11,9796769,142186,9290834
2020-12-12,9826775,142628,9324328
2020-12-13,9857029,143019,9357464
2020-12-14,9884100,143355,9388159
2020-12-15,9906104,143709,9422636
2020-12-16,9932547,144096,9456449
2020-12-17,9956557,144451,9489740
2020-12-18,9979447,144789,9520827
2020-12-19,10004599,145136,9550712
2020-12-20,10031223,145477,9580402
2020-12-21,10058144,145810,9606111
2020-12-22,10068330,146111,9636487
2020-12-23,10099066,146444,9663382
2020-12-24,10123778,146756,9693173
2020-12-25,10146845,147092,9717834
2020-12-26,10169118,147343,9740108
2020-12-27,10187850,147622,9761538
2020-12-28,10207871,147901,9782669
2020-12-29,10224303,148153,9807569
2020-12-30,10244852,148439,9834141
2020-12-31,10266674,148738,9860280
2021-01-01,10286709,148994,9883461
2021-01-02,10305788,149218,9906387
2021-01-03,10323965,149435,9927310
2021-01-04,10340469,149649,9946867
2021-01-05,10356844,149850,9975958
2021-01-06,10374932,150114,9997272
2021-01-07,10395278,150336,10016859
2021-01-08,10413417,150570,10037398
2021-01-09,10431639,150798,10056651
2021-01-10,10450284,150999,10075950
2021-01-11,10466595,151160,10092909
2021-01-12,10479179,151327,10111294
2021-01-13,10495147,151529,10129111
2021-01-14,10512093,151727,10146763
2021-01-15,10527683,151918,10162738
2021-01-16,10542841,152093,10179715
2021-01-17,10557985,152274,10196885
2021-01-18,10571773,152419,10211342
2021-01-19,10581837,152556,10228753
2021-01-20,10595660,152718,10245741
2021-01-21,10610883,152869,10265706
2021-01-22,10625428,153032,10283708
2021-01-23,10639684,153184,10300838
2021-01-24,10654533,153339,10316786
2021-01-25,10662181,153470,10330084
2021-01-26,10676838,153587,10345985
2021-01-27,10689527,153724,10359305
2021-01-28,10701193,153847,10373606
2021-01-29,10720048,154010,10394352
2021-01-30,10733131,154147,10409160
2021-01-31,10746183,154274,10423125
2021-02-01,10756631,154392,10434983
2021-02-02,10766245,154486,10448406
2021-02-03,10777284,154596,10462631
2021-02-04,10790183,154703,10480455
2021-02-05,10802591,154823,10496308
2021-02-06,10814304,154918,10510796
2021-02-07,10826363,154996,10522601
2021-02-08,10838194,155080,10534505
2021-02-09,10847304,155158,10548521
2021-02-10,10858371,155252,10561608
2021-02-11,10867467,155360,10573372
2021-02-12,10880603,155447,10589230
2021-02-13,10892746,155550,10600625
2021-02-14,10904940,155642,10611731
2021-02-15,10916589,155732,10621220
2021-02-16,10925710,155813,10633025
2021-02-17,10937320,155913,10644858
2021-02-18,10944479,156014,10656845
2021-02-19,10963394,156111,10667741
2021-02-20,10977387,156212,10678048
2021-02-21,10991651,156302,10689715
2021-02-22,11005850,156385,10699410
2021-02-23,11016434,156463,10712665
2021-02-24,11042648,156567,10726702
2021-02-25,11046914,156705,10738501
2021-02-26,11063491,156825,10750680
2021-02-27,11079979,156938,10763451
2021-02-28,11096731,157051,10775169
2021-03-01,11111149,157157,10786457
2021-03-02,11124527,157248,10798921
2021-03-03,11128605,157346,10812044
2021-03-04,11156923,157435,10826075
2021-03-05,11173761,157548,10839894
2021-03-06,11192088,157656,10854128
2021-03-07,11210799,157756,10868520
2021-03-08,11229398,157853,10882798
2021-03-09,11230872,157930,10899394
2021-03-10,11262707,158063,10920046
2021-03-11,11262707,158063,10920046
2021-03-12,11285561,158189,10938146
2021-03-13,11333728,158446,10973260
2021-03-14,11359048,158607,10989897
2021-03-15,11385339,158725,11007352
2021-03-16,11409831,158856,11027543
2021-03-17,11438734,159044,11045284
2021-03-18,11474605,159216,11063025
2021-03-19,11514331,159370,11083679
2021-03-20,11555284,159558,11107332
2021-03-21,11599130,159755,11130288
2021-03-22,11646081,159967,11151468
2021-03-23,11686796,160166,11181253
2021-03-24,11734058,160441,11205160
2021-03-25,11787534,160692,11231650
2021-03-26,11846652,160949,11264637
2021-03-27,11908910,161240,11295023
2021-03-28,11971624,161552,11323762
2021-03-29,12039644,161843,11355993
2021-03-30,12095855,162114,11393021
2021-03-31,12149335,162468,11434301
2021-04-01,12226141,162927,11474683
2021-04-02,12303131,163396,11525039
2021-04-03,12392260,164110,11569241
2021-04-04,12485509,164623,11629289
2021-04-05,12589067,165101,11682136
2021-04-06,12686049,165547,11732279
2021-04-07,12801785,166177,11792135
2021-04-08,12928574,166862,11851393
2021-04-09,13060542,167642,11913292
2021-04-10,13205926,168436,11990859
2021-04-11,13358805,169275,12081443
2021-04-12,13527717,170179,12156529
2021-04-13,13689453,171058,12253697
2021-04-14,13873825,172085,12336036
2021-04-15,14074564,173123,12429564
2021-04-16,14291917,174308,12547866
2021-04-17,14526609,175649,12671220
2021-04-18,14788109,177150,12809643
2021-04-19,15061919,178769,12953821
2021-04-20,15321089,180530,13108582
2021-04-21,15616130,182553,13276039
2021-04-22,15930965,184657,13454880
2021-04-23,16263695,186920,13648159
2021-04-24,16610481,189544,13867997
2021-04-25,16960172,192311,14085110
2021-04-26,17313163,195123,14304382
2021-04-27,17636307,197894,14556209
2021-04-28,17997267,201187,14817371
2021-04-29,18376524,204832,15086878
2021-04-30,18762976,208330,15384418
2021-05-01,19164969,211853,15684406
2021-05-02,19557457,215542,15992271
2021-05-03,19925604,218959,16293003
2021-05-04,20282833,222408,16613292
2021-05-05,20665148,226188,16951731
2021-05-06,21077410,230168,17280844
2021-05-07,21491598,234083,17612351
2021-05-08,21892676,238270,17930960
2021-05-09,22296414,242362,18317404
2021-05-10,22662575,246116,18671222
2021-05-11,22992517,249992,19027304
2021-05-12,23340938,254197,19382642
2021-05-13,23703665,258317,19734823
2021-05-14,24046809,262317,20079599
2021-05-15,24372907,266207,20432898
2021-05-16,24684077,270284,20795335
2021-05-17,24965463,274390,21174076
2021-05-18,25228996,278719,21596512
2021-05-19,25496330,283248,21986363
2021-05-20,25772440,287122,22355440
2021-05-21,26031991,291331,22712735
2021-05-22,26289290,295525,23070365
2021-05-23,26530132,299266,23425467
2021-05-24,26752447,303720,23728011
2021-05-25,26948874,307231,24054861
2021-05-26,27157795,311388,24350816
2021-05-27,27369093,315235,24633951
2021-05-28,27555457,318895,24893410
2021-05-29,27729247,322512,25178011
2021-05-30,27894800,325972,25454320
2021-05-31,28047534,329100,25692342
2021-06-01,28175044,331895,25947629
2021-06-02,28307832,335102,26179085
2021-06-03,28441986,337989,26390584
2021-06-04,28574350,340702,26597655
2021-06-05,28694879,344082,26795549
2021-06-06,28809339,346759,26984781
2021-06-07,28909975,349186,27159180
2021-06-08,28996473,351309,27341462
2021-06-09,29089069,353528,27504126
2021-06-10,29183121,359676,27655493
2021-06-11,29274823,363079,27790073
2021-06-12,29359155,367081,27911384
2021-06-13,29439989,370384,28043446
2021-06-14,29510410,374305,28162947
2021-06-15,29570881,377031,28280472
2021-06-16,29633105,379573,28388100
2021-06-17,29700313,381903,28491670
2021-06-18,29762793,383490,28580647
2021-06-19,29823546,385137,28678390
2021-06-20,29881965,386713,28766009
2021-06-21,29935221,388135,28844199
2021-06-22,29977861,389302,28926038
2021-06-23,30028709,390660,28994855
2021-06-24,30082778,391981,29063740
2021-06-25,30134445,393310,29128267
2021-06-26,30183143,394493,29193085
2021-06-27,30233183,395751,29251029
2021-06-28,30279331,396730,29309607
2021-06-29,30316897,397637,29366601
2021-06-30,30362848,398454,29427330
2021-07-01,30411634,399459,29488918
2021-07-02,30458251,400312,29548302
2021-07-03,30502362,401050,29605779
2021-07-04,30545433,402005,29658078
2021-07-05,30585229,402728,29700430
2021-07-06,30619932,403281,29752294
2021-07-07,30663665,404211,29799534
2021-07-08,30709557,405028,29843825
2021-07-09,30752950,405939,29888284
2021-07-10,30795716,407145,29933538
2021-07-11,30837222,408040,29975064
2021-07-12,30874376,408764,30014713
2021-07-13,30907282,410784,30063720
2021-07-14,30946074,411408,30104720
2021-07-15,30987880,411989,30143850
2021-07-16,31026829,412531,30183876
2021-07-17,31064908,413091,30227792
2021-07-18,31106065,413609,30269796
2021-07-19,31144229,414108,30308456
2021-07-20,31174322,414482,30353710
2021-07-21,31216337,418480,30390687
2021-07-22,31257720,418987,30429339
2021-07-23,31293062,419470,30468079
2021-07-24,31332159,420016,30503166
2021-07-25,31371901,420551,30543138
2021-07-26,31411262,420967,30579106
2021-07-27,31440951,421382,30621469
2021-07-28,31484605,422022,30663147
2021-07-29,31528114,422662,30701612
2021-07-30,31572344,423217,30743972
2021-07-31,31613993,423810,30781263
2021-08-01,31655824,424351,30820521
2021-08-02,31695958,424773,30857467
2021-08-03,31726507,425195,30896354
2021-08-04,31769132,425757,30933022
2021-08-05,31812114,426290,30974748
2021-08-06,31856757,426754,31015844
2021-08-07,31895385,427371,31055861
2021-08-08,31934455,427862,31099771
2021-08-09,31969954,428309,31139457
2021-08-10,31998158,428682,31180968
2021-08-11,32036511,429179,31220981
